target	model	family	eligibility_status	quality_complete	accuracy	translation	embedding	rerank	asr	ocr	general_ability	conditioned	long_context	scenarios	conversation_drift
amd-linux-x86	rapidocr-amd-linux-directml	ocr	platform_blocked	False	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	skipped	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
amd-linux-x86	rapidocr-amd-linux-npu	ocr	platform_blocked	False	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	skipped	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
intel-win-x86	rapidocr-intel-directml	ocr	platform_blocked	False	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	skipped	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
intel-win-x86	rapidocr-intel-openvino	ocr	feasible	True	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	warning	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
amd-linux-x86	sensevoice-small-amd-linux	asr	feasible	True	not_applicable	not_applicable	not_applicable	not_applicable	passed	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
amd-linux-x86	sensevoice-small-int8-amd-linux	asr	feasible	True	not_applicable	not_applicable	not_applicable	not_applicable	passed	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
intel-win-x86	sensevoice-small-intel-win	asr	feasible	True	not_applicable	not_applicable	not_applicable	not_applicable	passed	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
intel-win-x86	whisper-base-npu-intel-win	asr	feasible	True	not_applicable	not_applicable	not_applicable	not_applicable	failed	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
amd-linux-x86	whisper-tiny-amd-linux-npu	asr	feasible	True	not_applicable	not_applicable	not_applicable	not_applicable	passed	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
intel-win-x86	whisper-tiny-openvino-intel-win	asr	feasible	True	not_applicable	not_applicable	not_applicable	not_applicable	failed	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
